LSOA11CD,total_length_meters_2011,length_meters_2020
E01002754,511.5,237.8
E01002755,282.3,291.3
E01002756,362.4,510.1
E01002758,13.9,1316.2
E01002760,46.1,715.8
E01002762,20.0,540.9
E01002766,20.7,23.0
E01002767,0.2,127.2
E01002768,3.4,9.0
E01002769,107.5,180.2
E01002770,545.9,760.8
E01002772,19.6,480.1
E01002774,168.3,459.7
E01002775,153.3,212.1
E01002778,50.6,46.2
E01002784,154.2,174.8
E01002785,2.5,5.4
E01002788,3.8,13.6
E01002789,4.8,12.6
E01002791,30.5,602.4
E01002792,12.5,5.9
E01002793,20.3,32.0
E01002794,53.7,70.8
E01002795,195.0,328.2
E01002796,417.9,415.8
E01002797,73.3,86.7
E01002798,149.6,66.4
E01002799,0.0,0
E01002800,64.7,364.8
E01002801,37.5,3.2
E01002802,418.7,31.0
E01002805,26.9,75.4
E01002807,13.9,27.4
E01002809,20.3,123.2
E01002810,9.7,9.7
E01002817,7.2,0
E01002823,43.2,19.9
E01002824,145.6,0
E01002825,448.0,446.8
E01002826,427.7,209.0
E01002827,84.1,65.8
E01002828,159.9,160.3
E01002829,71.3,0
E01002830,17.5,30.5
E01002834,77.6,19.9
E01002836,29.0,29.0
E01002840,664.1,733.8
E01002843,49.0,48.3
E01002844,207.3,278.4
E01002846,227.2,53.1
E01002847,194.0,0
E01002848,251.2,0
E01002849,171.2,24.6
E01002851,83.1,43.5
E01002852,1480.9,1931.3
E01002854,683.1,746.3
E01002857,273.4,268.9
E01002864,0.1,141.7
E01002865,422.1,419.8
E01002866,420.7,145.0
E01002867,120.9,260.3
E01002868,60.0,63.5
E01002869,255.9,376.5
E01002871,1.9,60.1
E01002872,5.0,13.4
E01002873,153.5,493.8
E01002883,2.6,12.0
E01002890,11.0,9.2
E01002893,167.1,232.6
E01002894,361.5,301.8
E01002895,320.3,0
E01002896,40.2,21.0
E01002897,499.8,499.7
E01002898,26.5,0
E01002900,442.1,553.1
E01002901,437.4,389.3
E01002908,6.5,44.1
E01002912,2.7,5.1
E01002913,118.6,161.0
E01002914,0.1,7.6
E01002915,133.6,60.2
E01002918,83.9,63.8
E01002919,581.1,1448.1
E01002920,933.9,81.5
E01002926,53.1,40.8
E01002927,36.6,172.2
E01002928,56.7,742.2
E01002929,0.2,1289.4
E01002930,18.6,302.2
E01002931,73.7,83.8
